Class,Filename,CrossEra-ID,Instrumentation,Key,Mode,Composer,CompLifetime,Country,
orchestra_baroque,CrossEra-0001_Albinoni__sinata_a_cinque_no._6_in_g_minor_op._2_1_adagio.mp3,CrossEra-0001,orchestra,G,minor,Albinoni; Tomaso,1671-1751,Italy,
orchestra_baroque,CrossEra-0002_Albinoni__sinata_a_cinque_no._6_in_g_minor_op._2_2_allegro.mp3,CrossEra-0002,orchestra,G,minor,Albinoni; Tomaso,1671-1751,Italy,
orchestra_baroque,CrossEra-0003_Albinoni__sinata_a_cinque_no._6_in_g_minor_op._2_3_grave.mp3,CrossEra-0003,orchestra,G,minor,Albinoni; Tomaso,1671-1751,Italy,
orchestra_baroque,CrossEra-0004_Albinoni__sinata_a_cinque_no._6_in_g_minor_op._2_4_allegro.mp3,CrossEra-0004,orchestra,G,minor,Albinoni; Tomaso,1671-1751,Italy,
orchestra_baroque,CrossEra-0005_Albinoni_concerto_in_a_minor_bwv_1044_adagio_ma_non_tanto_e_dolce.mp3,CrossEra-0005,orchestra,A,minor,Albinoni; Tomaso,1671-1751,Italy,
orchestra_baroque,CrossEra-0006_Albinoni_concerto_in_a_minor_bwv_1044_alla_breve.mp3,CrossEra-0006,orchestra,A,minor,Albinoni; Tomaso,1671-1751,Italy,
orchestra_baroque,CrossEra-0007_Albinoni_concerto_in_a_minor_bwv_1044_allegro.mp3,CrossEra-0007,orchestra,A,minor,Albinoni; Tomaso,1671-1751,Italy,
orchestra_baroque,CrossEra-0008_Albinoni_concerto_in_b_flat_major_op.9_no.11_adagio.mp3,CrossEra-0008,orchestra,G,minor,Albinoni; Tomaso,1671-1751,Italy,
orchestra_baroque,CrossEra-0009_Albinoni_concerto_in_b_flat_major_op.9_no.11_allegro.mp3,CrossEra-0009,orchestra,Bb,major,Albinoni; Tomaso,1671-1751,Italy,
orchestra_baroque,CrossEra-0010_Albinoni_concerto_in_c_major_op.9_no.5_adagio_non_troppo.mp3,CrossEra-0010,orchestra,A,minor,Albinoni; Tomaso,1671-1751,Italy,
orchestra_baroque,CrossEra-0011_Albinoni_concerto_in_c_major_op.9_no.5_allegro.mp3,CrossEra-0011,orchestra,C,major,Albinoni; Tomaso,1671-1751,Italy,
orchestra_baroque,CrossEra-0012_Albinoni_concerto_in_c_major_op.9_no.9_adagio_non_troppo.mp3,CrossEra-0012,orchestra,A,minor,Albinoni; Tomaso,1671-1751,Italy,
orchestra_baroque,CrossEra-0013_Albinoni_concerto_in_c_major_op.9_no.9_allegro.mp3,CrossEra-0013,orchestra,C,major,Albinoni; Tomaso,1671-1751,Italy,
orchestra_baroque,CrossEra-0014_Albinoni_concerto_in_d_minor_op.9_no.2_adagio.mp3,CrossEra-0014,orchestra,Bb,major,Albinoni; Tomaso,1671-1751,Italy,
