Class,Filename,CrossEra-ID,Instrumentation,Key,Mode,Composer,CompLifetime,Country,
piano_baroque,CrossEra-0801_BachWTK1_1_01_-_Das_Wohltemperierte_Klavier__Book_1_BWV_846-869_-_Prelude_in_C_major_BWV_846.mp3,CrossEra-0801,piano,C,major,Bach; Johann Sebastian,1685-1750,Germany,
piano_baroque,CrossEra-0802_BachWTK1_1_02_-_Das_Wohltemperierte_Klavier__Book_1_BWV_846-869_-_Fugue_in_C_major_BWV_846.mp3,CrossEra-0802,piano,C,major,Bach; Johann Sebastian,1685-1750,Germany,
piano_baroque,CrossEra-0803_BachWTK1_1_03_-_Das_Wohltemperierte_Klavier__Book_1_BWV_846-869_-_Prelude_in_C_minor_BWV_847.mp3,CrossEra-0803,piano,C,minor,Bach; Johann Sebastian,1685-1750,Germany,
piano_baroque,CrossEra-0804_BachWTK1_1_04_-_Das_Wohltemperierte_Klavier__Book_1_BWV_846-869_-_Fugue_in_C_minor_BWV_847.mp3,CrossEra-0804,piano,C,minor,Bach; Johann Sebastian,1685-1750,Germany,
piano_baroque,CrossEra-0805_BachWTK1_1_05_-_Das_Wohltemperierte_Klavier__Book_1_BWV_846-869_-_Prelude_in_C_sharp_major_BWV_848.mp3,CrossEra-0805,piano,C#,major,Bach; Johann Sebastian,1685-1750,Germany,
piano_baroque,CrossEra-0806_BachWTK1_1_06_-_Das_Wohltemperierte_Klavier__Book_1_BWV_846-869_-_Fugue_in_C_sharp_major_BWV_848.mp3,CrossEra-0806,piano,C#,major,Bach; Johann Sebastian,1685-1750,Germany,
piano_baroque,CrossEra-0807_BachWTK1_1_07_-_Das_Wohltemperierte_Klavier__Book_1_BWV_846-869_-_Prelude_in_C_sharp_minor_BWV_849.mp3,CrossEra-0807,piano,C#,minor,Bach; Johann Sebastian,1685-1750,Germany,
piano_baroque,CrossEra-0808_BachWTK1_1_08_-_Das_Wohltemperierte_Klavier__Book_1_BWV_846-869_-_Fugue_in_C_sharp_minor_BWV_849.mp3,CrossEra-0808,piano,C#,minor,Bach; Johann Sebastian,1685-1750,Germany,
piano_baroque,CrossEra-0809_BachWTK1_1_09_-_Das_Wohltemperierte_Klavier__Book_1_BWV_846-869_-_Prelude_in_D_major_BWV_850.mp3,CrossEra-0809,piano,D,major,Bach; Johann Sebastian,1685-1750,Germany,
piano_baroque,CrossEra-0810_BachWTK1_1_10_-_Das_Wohltemperierte_Klavier__Book_1_BWV_846-869_-_Fugue_in_D_major_BWV_850.mp3,CrossEra-0810,piano,D,major,Bach; Johann Sebastian,1685-1750,Germany,
piano_baroque,CrossEra-0811_BachWTK1_1_11_-_Das_Wohltemperierte_Klavier__Book_1_BWV_846-869_-_Prelude_in_D_minor_BWV_851.mp3,CrossEra-0811,piano,D,minor,Bach; Johann Sebastian,1685-1750,Germany,
piano_baroque,CrossEra-0812_BachWTK1_1_12_-_Das_Wohltemperierte_Klavier__Book_1_BWV_846-869_-_Fugue_in_D_minor_BWV_851.mp3,CrossEra-0812,piano,D,minor,Bach; Johann Sebastian,1685-1750,Germany,
piano_baroque,CrossEra-0813_BachWTK1_1_13_-_Das_Wohltemperierte_Klavier__Book_1_BWV_846-869_-_Prelude_in_E_flat_major_BWV_852.mp3,CrossEra-0813,piano,Eb,major,Bach; Johann Sebastian,1685-1750,Germany,
piano_baroque,CrossEra-0814_BachWTK1_1_14_-_Das_Wohltemperierte_Klavier__Book_1_BWV_846-869_-_Fugue_in_E_flat_major_BWV_852.mp3,CrossEra-0814,piano,Eb,major,Bach; Johann Sebastian,1685-1750,Germany,
piano_baroque,CrossEra-0815_BachWTK1_1_15_-_Das_Wohltemperierte_Klavier__Book_1_BWV_846-869_-_Prelude_in_E_flat_minor_BWV_853.mp3,CrossEra-0815,piano,Eb,minor,Bach; Johann Sebastian,1685-1750,Germany,
piano_baroque,CrossEra-0816_BachWTK1_1_16_-_Das_Wohltemperierte_Klavier__Book_1_BWV_846-869_-_Fugue_in_D_sharp_minor_BWV_853.mp3,CrossEra-0816,piano,Eb,minor,Bach; Johann Sebastian,1685-1750,Germany,
piano_baroque,CrossEra-0817_BachWTK1_1_17_-_Das_Wohltemperierte_Klavier__Book_1_BWV_846-869_-_Prelude_in_E_major_BWV_854.mp3,CrossEra-0817,piano,E,major,Bach; Johann Sebastian,1685-1750,Germany,
piano_baroque,CrossEra-0818_BachWTK1_1_18_-_Das_Wohltemperierte_Klavier__Book_1_BWV_846-869_-_Fugue_in_E_major_BWV_854.mp3,CrossEra-0818,piano,E,major,Bach; Johann Sebastian,1685-1750,Germany,
piano_baroque,CrossEra-0819_BachWTK1_1_19_-_Das_Wohltemperierte_Klavier__Book_1_BWV_846-869_-_Prelude_in_E_minor_BWV_855.mp3,CrossEra-0819,piano,E,minor,Bach; Johann Sebastian,1685-1750,Germany,
piano_baroque,CrossEra-0820_BachWTK1_1_20_-_Das_Wohltemperierte_Klavier__Book_1_BWV_846-869_-_Fugue_in_E_minor_BWV_855.mp3,CrossEra-0820,piano,E,minor,Bach; Johann Sebastian,1685-1750,Germany,
piano_baroque,CrossEra-0821_BachWTK1_1_21_-_Das_Wohltemperierte_Klavier__Book_1_BWV_846-869_-_Prelude_in_F_major_BWV_856.mp3,CrossEra-0821,piano,F,major,Bach; Johann Sebastian,1685-1750,Germany,
piano_baroque,CrossEra-0822_BachWTK1_1_22_-_Das_Wohltemperierte_Klavier__Book_1_BWV_846-869_-_Fugue_in_F_major_BWV_856.mp3,CrossEra-0822,piano,F,major,Bach; Johann Sebastian,1685-1750,Germany,
piano_baroque,CrossEra-0823_BachWTK1_1_23_-_Das_Wohltemperierte_Klavier__Book_1_BWV_846-869_-_Prelude_in_F_minor_BWV_857.mp3,CrossEra-0823,piano,F,minor,Bach; Johann Sebastian,1685-1750,Germany,
piano_baroque,CrossEra-0824_BachWTK1_1_24_-_Das_Wohltemperierte_Klavier__Book_1_BWV_846-869_-_Fugue_in_F_minor_BWV_857.mp3,CrossEra-0824,piano,F,minor,Bach; Johann Sebastian,1685-1750,Germany,
piano_baroque,CrossEra-0825_BachWTK1_1_25_-_Das_Wohltemperierte_Klavier__Book_1_BWV_846-869_-_Prelude_in_F_sharp_major_BWV_858.mp3,CrossEra-0825,piano,F#,major,Bach; Johann Sebastian,1685-1750,Germany,
piano_baroque,CrossEra-0826_BachWTK1_1_26_-_Das_Wohltemperierte_Klavier__Book_1_BWV_846-869_-_Fugue_in_F_sharp_major_BWV_858.mp3,CrossEra-0826,piano,F#,major,Bach; Johann Sebastian,1685-1750,Germany,
piano_baroque,CrossEra-0827_BachWTK1_1_27_-_Das_Wohltemperierte_Klavier__Book_1_BWV_846-869_-_Prelude_in_F_sharp_minor_BWV_859.mp3,CrossEra-0827,piano,F#,minor,Bach; Johann Sebastian,1685-1750,Germany,
piano_baroque,CrossEra-0828_BachWTK1_1_28_-_Das_Wohltemperierte_Klavier__Book_1_BWV_846-869_-_Fugue_in_F_sharp_minor_BWV_859.mp3,CrossEra-0828,piano,F#,minor,Bach; Johann Sebastian,1685-1750,Germany,
piano_baroque,CrossEra-0829_BachWTK1_2_01_-_Das_Wohltemperierte_Klavier__Book_1_BWV_846-869_-_Prelude_in_G_major_BWV_860.mp3,CrossEra-0829,piano,G,major,Bach; Johann Sebastian,1685-1750,Germany,
piano_baroque,CrossEra-0830_BachWTK1_2_02_-_Das_Wohltemperierte_Klavier__Book_1_BWV_846-869_-_Fugue_in_G_major_BWV_860.mp3,CrossEra-0830,piano,G,major,Bach; Johann Sebastian,1685-1750,Germany,
piano_baroque,CrossEra-0831_BachWTK1_2_03_-_Das_Wohltemperierte_Klavier__Book_1_BWV_846-869_-_Prelude_in_G_minor_BWV_861.mp3,CrossEra-0831,piano,G,minor,Bach; Johann Sebastian,1685-1750,Germany,
piano_baroque,CrossEra-0832_BachWTK1_2_04_-_Das_Wohltemperierte_Klavier__Book_1_BWV_846-869_-_Fugue_in_G_minor_BWV_861.mp3,CrossEra-0832,piano,G,minor,Bach; Johann Sebastian,1685-1750,Germany,
piano_baroque,CrossEra-0833_BachWTK1_2_05_-_Das_Wohltemperierte_Klavier__Book_1_BWV_846-869_-_Prelude_in_A_flat_major_BWV_862.mp3,CrossEra-0833,piano,Ab,major,Bach; Johann Sebastian,1685-1750,Germany,
piano_baroque,CrossEra-0834_BachWTK1_2_06_-_Das_Wohltemperierte_Klavier__Book_1_BWV_846-869_-_Fugue_in_A_flat_major_BWV_862.mp3,CrossEra-0834,piano,Ab,major,Bach; Johann Sebastian,1685-1750,Germany,
piano_baroque,CrossEra-0835_BachWTK1_2_07_-_Das_Wohltemperierte_Klavier__Book_1_BWV_846-869_-_Prelude_in_G_sharp_minor_BWV_863.mp3,CrossEra-0835,piano,G#,minor,Bach; Johann Sebastian,1685-1750,Germany,
piano_baroque,CrossEra-0836_BachWTK1_2_08_-_Das_Wohltemperierte_Klavier__Book_1_BWV_846-869_-_Fugue_in_G_sharp_minor_BWV_863.mp3,CrossEra-0836,piano,G#,minor,Bach; Johann Sebastian,1685-1750,Germany,
piano_baroque,CrossEra-0837_BachWTK1_2_09_-_Das_Wohltemperierte_Klavier__Book_1_BWV_846-869_-_Prelude_in_A_major_BWV_864.mp3,CrossEra-0837,piano,A,major,Bach; Johann Sebastian,1685-1750,Germany,
piano_baroque,CrossEra-0838_BachWTK1_2_10_-_Das_Wohltemperierte_Klavier__Book_1_BWV_846-869_-_Fugue_in_A_major_BWV_864.mp3,CrossEra-0838,piano,A,major,Bach; Johann Sebastian,1685-1750,Germany,
